ID da Venda,Data da Venda,Preço,Preço Original,Desconto Aplicado,Produto,Categoria,Marca,Canal de Venda,Região,Nome do Funcionário,Quantidade de Vendas,Quantidade em Estoque,Avaliação
V000015,2024-05-04,539.69,654.19,114.5,Switch de Rede,Rede,TP-Link,Marketplace,Centro-Oeste,Eduardo Rocha,81,9,2.0
V000016,2024-08-22,1343.75,1377.22,33.47,Caixa de Som,Áudio e Vídeo,Philips,Venda Direta,Sudeste,Eduardo Rocha,22,102,3.2
V000017,2024-07-24,68.19,85.2,17.01,Roteador,Rede,D-Link,Loja Física,Nordeste,Eduardo Rocha,84,14,1.2
V000018,2023-01-22,235.83,334.36,98.53,Roteador,Rede,Ubiquiti,Venda Direta,Sul,Fernanda Alves,50,78,1.5
V000019,2025-02-01,968.25,1189.71,221.46,Fonte de Alimentação,Componentes,Corsair,Venda Direta,Nordeste,Eduardo Rocha,44,122,3.1
V000020,2024-12-25,1053.62,1480.38,426.76,Smartwatch,Eletrônicos,LG,Marketplace,Sul,Ana Costa,99,79,4.4
V000021,2024-11-08,190.69,204.84,14.15,Adaptador Bluetooth,Acessórios,Baseus,E-commerce,Centro-Oeste,Fernanda Alves,99,107,1.2
V000022,2023-01-28,165.02,185.57,20.55,Leitor de Cartão,Acessórios,Baseus,Venda Direta,Sudeste,Ana Costa,58,99,3.6
V000023,2024-02-26,3643.62,3903.83,260.21,Notebook,Informática,Acer,Venda Direta,Norte,Daniela Souza,58,29,2.4
V000024,2023-09-17,358.95,460.19,101.24,Gabinete,Componentes,AMD,E-commerce,Centro-Oeste,Daniela Souza,96,42,2.0
V000025,2025-02-01,524.82,554.57,29.75,HD Externo,Armazenamento,SanDisk,E-commerce,Norte,Bruno Lima,72,137,1.2
V000026,2024-11-21,173.05,217.75,44.7,Cooler,Componentes,Intel,Marketplace,Sul,Ana Costa,26,158,2.5
V000027,2023-06-21,391.72,441.44,49.72,Impressora,Periféricos,HP,E-commerce,Sudeste,Carlos Silva,72,65,3.1
V000028,2024-01-06,5313.37,6754.96,1441.59,Tablet,Eletrônicos,Xiaomi,Venda Direta,Centro-Oeste,Bruno Lima,27,166,1.1
V000029,2023-07-15,251.07,283.94,32.87,Tripé,Acessórios,Anker,Marketplace,Norte,Eduardo Rocha,86,18,1.2
V000030,2023-10-20,305.23,343.15,37.92,Webcam,Periféricos,Dell,Loja Física,Nordeste,Fernanda Alves,72,43,3.6
V000031,2025-01-15,900.7,1136.7,236.0,HD Externo,Armazenamento,Western Digital,Loja Física,Centro-Oeste,Ana Costa,85,12,1.3
V000032,2024-04-02,495.83,706.78,210.95,Microfone,Áudio e Vídeo,JBL,Loja Física,Sudeste,Bruno Lima,15,33,4.8
V000033,2025-03-13,886.44,985.82,99.38,Scanner,Periféricos,Logitech,Loja Física,Sudeste,Carlos Silva,24,71,1.6
V000034,2024-12-14,385.84,413.15,27.31,Ring Light,Acessórios,Baseus,E-commerce,Sul,Carlos Silva,8,85,2.7
V000035,2023-07-04,292.29,337.83,45.54,Roteador,Rede,D-Link,E-commerce,Nordeste,Bruno Lima,17,105,4.6
V000036,2023-05-11,97.5,109.53,12.03,Cooler,Componentes,Intel,Marketplace,Centro-Oeste,Carlos Silva,79,181,2.2
V000037,2024-08-05,378.78,481.1,102.32,Controle de Videogame,Acessórios,Genérico,E-commerce,Nordeste,Daniela Souza,13,122,4.6
V000038,2023-12-24,178.35,237.99,59.64,Pen Drive,Armazenamento,Western Digital,Marketplace,Norte,Bruno Lima,7,103,1.8
V000039,2023-01-03,1075.96,1155.26,79.3,Smartwatch,Eletrônicos,Apple,Marketplace,Sudeste,Fernanda Alves,76,177,2.0
V000040,2023-07-15,665.77,790.0,124.23,Switch de Rede,Rede,D-Link,E-commerce,Sudeste,Daniela Souza,61,186,1.3
V000041,2024-11-12,863.39,1065.91,202.52,HD Externo,Armazenamento,Western Digital,Venda Direta,Nordeste,Bruno Lima,68,37,4.9
V000042,2023-02-12,818.97,860.23,41.26,Dock Station,Periféricos,HP,Marketplace,Nordeste,Carlos Silva,23,15,3.4
V000043,2023-08-15,4542.04,5838.6,1296.56,Processador,Componentes,AMD,Marketplace,Centro-Oeste,Ana Costa,20,74,3.3
V000044,2024-04-27,977.54,1263.01,285.47,Memória RAM,Componentes,AMD,Venda Direta,Sudeste,Eduardo Rocha,81,36,2.0
V000045,2024-05-15,261.57,320.43,58.86,Fone de Ouvido,Áudio e Vídeo,Philips,Venda Direta,Sul,Carlos Silva,29,29,3.2
V000046,2023-05-25,75.73,92.26,16.53,Teclado,Periféricos,Dell,Venda Direta,Centro-Oeste,Ana Costa,79,141,4.2
V000047,2024-01-28,928.1,1267.98,339.88,Fonte de Alimentação,Componentes,Intel,Marketplace,Norte,Daniela Souza,16,170,4.8
V000048,2024-12-17,157.65,216.73,59.08,Cooler,Componentes,Intel,Loja Física,Sul,Daniela Souza,58,58,4.0
V000049,2023-07-07,144.58,155.87,11.29,Leitor de Cartão,Acessórios,Belkin,Loja Física,Sul,Eduardo Rocha,99,87,4.7
V000050,2024-01-25,92.44,104.96,12.52,Teclado,Periféricos,HP,E-commerce,Centro-Oeste,Bruno Lima,81,47,4.4
V000051,2023-05-08,879.0,888.89,9.89,Fonte de Alimentação,Componentes,Corsair,Loja Física,Centro-Oeste,Eduardo Rocha,42,9,2.6
V000052,2025-02-22,299.22,375.37,76.15,Webcam,Periféricos,Logitech,E-commerce,Norte,Ana Costa,67,94,4.0
V000053,2023-03-10,895.68,1164.78,269.1,Switch de Rede,Rede,Cisco,Loja Física,Sudeste,Bruno Lima,92,100,4.9
V000054,2025-04-06,96.63,100.96,4.33,Cooler,Componentes,AMD,Venda Direta,Centro-Oeste,Fernanda Alves,1,93,2.2
V000055,2024-05-29,67.72,93.25,25.53,Gabinete,Componentes,Intel,Loja Física,Centro-Oeste,Ana Costa,85,79,1.9
V000056,2023-06-24,1496.5,2136.55,640.05,Smartwatch,Eletrônicos,Samsung,Marketplace,Nordeste,Ana Costa,30,180,1.2
V000057,2024-07-21,1301.62,1305.21,3.59,No-Break,Componentes,NVIDIA,Marketplace,Norte,Bruno Lima,72,159,1.4
V000058,2023-02-20,76.29,80.35,4.06,Cooler,Componentes,Corsair,Loja Física,Norte,Bruno Lima,90,34,2.4
V000059,2024-07-03,6630.41,7454.88,824.47,Tablet,Eletrônicos,Samsung,Venda Direta,Sudeste,Ana Costa,88,171,4.9
V000060,2023-05-04,6561.0,8710.65,2149.65,Processador,Componentes,AMD,Loja Física,Centro-Oeste,Eduardo Rocha,76,177,4.4
V000061,2023-06-29,119.74,168.85,49.11,Adaptador Bluetooth,Acessórios,Genérico,Loja Física,Sul,Fernanda Alves,57,197,1.4
V000062,2024-12-22,58.67,80.88,22.21,Teclado,Periféricos,Multilaser,Loja Física,Norte,Bruno Lima,61,145,1.9
V000063,2023-01-14,219.77,237.09,17.32,Switch de Rede,Rede,Cisco,E-commerce,Sudeste,Carlos Silva,32,87,4.9
V000064,2024-07-26,354.03,360.45,6.42,Tripé,Acessórios,Belkin,Loja Física,Nordeste,Ana Costa,40,106,2.0
V000065,2023-07-26,2324.9,3191.17,866.27,Placa de Vídeo,Componentes,AMD,Marketplace,Sudeste,Eduardo Rocha,84,49,2.0
V000066,2025-04-23,445.84,513.96,68.12,No-Break,Componentes,Corsair,Loja Física,Sudeste,Daniela Souza,79,172,3.1
V000067,2024-05-23,1279.75,1300.8,21.05,Caixa de Som,Áudio e Vídeo,Philips,E-commerce,Sudeste,Fernanda Alves,19,104,1.2
V000068,2023-03-10,160.63,163.8,3.17,Adaptador Bluetooth,Acessórios,Belkin,Venda Direta,Centro-Oeste,Daniela Souza,93,107,3.2
V000069,2024-03-31,300.66,358.11,57.45,Switch de Rede,Rede,Cisco,Loja Física,Nordeste,Fernanda Alves,89,191,2.3
V000070,2024-07-13,155.03,210.13,55.1,Lâmpada Inteligente,Eletrônicos,LG,Marketplace,Norte,Daniela Souza,7,171,2.6
V000071,2024-12-17,313.6,431.21,117.61,Impressora,Periféricos,HP,Loja Física,Sul,Fernanda Alves,24,92,1.5
V000072,2023-01-26,97.35,112.85,15.5,Mouse,Periféricos,Multilaser,Marketplace,Sul,Bruno Lima,36,190,4.0
V000073,2023-02-05,551.27,612.69,61.42,Impressora,Periféricos,Multilaser,Venda Direta,Norte,Fernanda Alves,80,138,2.2
V000074,2024-01-10,419.59,428.91,9.32,Webcam,Periféricos,Logitech,Venda Direta,Norte,Ana Costa,57,187,2.7
V000075,2023-03-10,98.11,100.77,2.66,Roteador,Rede,TP-Link,Marketplace,Norte,Daniela Souza,81,168,3.3
V000076,2024-01-05,789.12,829.14,40.02,Dock Station,Periféricos,Multilaser,E-commerce,Sul,Ana Costa,26,73,1.8
V000077,2024-10-09,142.79,185.41,42.62,Microfone,Áudio e Vídeo,Philips,Venda Direta,Centro-Oeste,Ana Costa,69,61,1.1
V000078,2023-08-28,651.21,853.08,201.87,Placa Mãe,Componentes,Corsair,Marketplace,Norte,Carlos Silva,83,125,1.3
V000079,2023-01-28,2301.12,2374.41,73.29,Notebook,Informática,Asus,Venda Direta,Centro-Oeste,Daniela Souza,30,43,3.3
V000080,2023-05-15,135.42,163.37,27.95,Adaptador Bluetooth,Acessórios,Anker,Marketplace,Centro-Oeste,Ana Costa,51,42,2.0
V000081,2024-12-28,491.26,495.84,4.58,Microfone,Áudio e Vídeo,Philips,Marketplace,Norte,Daniela Souza,43,134,3.6
V000082,2024-01-02,1378.68,1812.61,433.93,SSD,Armazenamento,Seagate,Loja Física,Norte,Fernanda Alves,70,94,2.6
V000083,2023-09-05,479.29,531.37,52.08,Controle de Videogame,Acessórios,Anker,Venda Direta,Nordeste,Carlos Silva,12,180,4.7
V000084,2024-08-31,325.14,416.68,91.54,Controle de Videogame,Acessórios,Anker,Marketplace,Norte,Ana Costa,69,32,1.2
V000085,2023-04-30,3300.33,3933.98,633.65,Placa de Vídeo,Componentes,Corsair,E-commerce,Norte,Ana Costa,30,175,1.6
V000086,2023-08-13,323.02,357.09,34.07,Carregador Portátil,Acessórios,Baseus,E-commerce,Sul,Ana Costa,50,123,2.8
V000087,2024-09-23,815.27,826.87,11.6,SSD,Armazenamento,Seagate,E-commerce,Centro-Oeste,Eduardo Rocha,49,160,1.5
V000088,2024-06-25,70.94,99.6,28.66,Leitor de Cartão,Acessórios,Baseus,Loja Física,Sudeste,Ana Costa,35,30,2.1
V000089,2024-11-08,136.39,141.71,5.32,Adaptador Bluetooth,Acessórios,Genérico,Marketplace,Norte,Carlos Silva,54,32,1.9
V000090,2023-01-13,6711.37,6824.3,112.93,Notebook,Informática,Acer,Venda Direta,Centro-Oeste,Fernanda Alves,94,75,2.8
V000091,2023-02-14,858.36,886.52,28.16,Roteador,Rede,Cisco,Loja Física,Norte,Bruno Lima,2,81,2.8
V000092,2023-05-16,69.83,90.24,20.41,Mouse,Periféricos,Multilaser,Venda Direta,Sul,Fernanda Alves,38,72,1.2
V000093,2024-04-30,497.91,523.09,25.18,Webcam,Periféricos,Dell,Marketplace,Centro-Oeste,Eduardo Rocha,26,80,2.0
V000094,2024-11-26,4371.82,5032.06,660.24,Processador,Componentes,Corsair,E-commerce,Sul,Carlos Silva,33,164,1.9
V000095,2024-03-23,286.1,303.72,17.62,Fonte de Alimentação,Componentes,Corsair,Loja Física,Sudeste,Daniela Souza,4,195,4.8
V000096,2025-02-24,355.61,369.05,13.44,Estabilizador,Componentes,NVIDIA,Venda Direta,Nordeste,Daniela Souza,43,142,3.5
V000097,2024-02-28,103.97,114.86,10.89,Webcam,Periféricos,Multilaser,Marketplace,Sudeste,Eduardo Rocha,29,24,3.4
V000098,2025-04-13,181.03,222.36,41.33,Mouse,Periféricos,Logitech,Marketplace,Norte,Fernanda Alves,35,187,2.6
V000099,2024-10-25,157.09,172.54,15.45,Webcam,Periféricos,Logitech,E-commerce,Norte,Eduardo Rocha,9,100,1.9
V000100,2023-07-24,679.22,929.76,250.54,Dock Station,Periféricos,Multilaser,Loja Física,Nordeste,Daniela Souza,17,22,4.6
V000101,2024-06-27,100.19,115.94,15.75,Controle de Videogame,Acessórios,Belkin,E-commerce,Nordeste,Ana Costa,94,36,4.1
V000102,2024-11-12,470.59,593.05,122.46,Controle de Videogame,Acessórios,Anker,Venda Direta,Centro-Oeste,Ana Costa,84,53,3.8
V000103,2023-04-17,175.81,234.78,58.97,Leitor de Cartão,Acessórios,Baseus,Venda Direta,Nordeste,Daniela Souza,14,42,3.2
V000104,2023-09-15,1313.7,1702.74,389.04,Câmera,Áudio e Vídeo,JBL,E-commerce,Centro-Oeste,Bruno Lima,1,120,2.6
V000105,2023-09-16,685.67,761.23,75.56,Memória RAM,Componentes,Intel,Loja Física,Centro-Oeste,Daniela Souza,84,123,2.5
V000106,2025-03-11,2917.43,3268.88,351.45,Processador,Componentes,AMD,Venda Direta,Centro-Oeste,Fernanda Alves,42,137,2.9
V000107,2024-05-16,188.36,268.45,80.09,Carregador Portátil,Acessórios,Baseus,E-commerce,Sudeste,Carlos Silva,23,166,3.2
V000108,2023-03-15,118.36,159.96,41.6,Adaptador Bluetooth,Acessórios,Anker,Venda Direta,Sudeste,Daniela Souza,78,29,2.3
V000109,2023-09-24,5114.22,6100.22,986.0,Placa de Vídeo,Componentes,AMD,E-commerce,Norte,Ana Costa,84,46,3.1
V000110,2023-04-05,118.34,149.78,31.44,Dock Station,Periféricos,HP,E-commerce,Sul,Fernanda Alves,72,12,3.8
V000111,2023-11-14,373.06,499.0,125.94,Estabilizador,Componentes,Corsair,Marketplace,Nordeste,Carlos Silva,100,98,3.3
V000112,2024-04-02,4112.31,5082.36,970.05,Smartphone,Eletrônicos,Apple,E-commerce,Norte,Fernanda Alves,34,156,3.0
V000113,2023-12-07,2262.26,3032.29,770.03,Tablet,Eletrônicos,LG,Venda Direta,Sudeste,Eduardo Rocha,30,91,3.9
V000114,2024-08-18,78.05,88.44,10.39,Leitor de Cartão,Acessórios,Belkin,E-commerce,Sudeste,Bruno Lima,76,183,4.0
V000115,2024-11-15,3282.77,3612.1,329.33,Smartphone,Eletrônicos,Samsung,E-commerce,Nordeste,Ana Costa,93,180,4.0
V000116,2024-10-30,397.42,433.93,36.51,Fone de Ouvido,Áudio e Vídeo,Sony,Marketplace,Sul,Bruno Lima,43,170,2.8
V000117,2024-03-22,213.35,295.71,82.36,Câmera,Áudio e Vídeo,Bose,Loja Física,Nordeste,Daniela Souza,71,16,3.8
V000118,2023-05-30,658.58,754.46,95.88,Switch de Rede,Rede,TP-Link,E-commerce,Norte,Bruno Lima,8,151,4.7
V000119,2024-08-03,627.45,695.0,67.55,Smartwatch,Eletrônicos,LG,Loja Física,Sul,Fernanda Alves,51,140,2.0
V000120,2024-11-09,1411.67,1572.06,160.39,Monitor,Periféricos,Multilaser,Marketplace,Centro-Oeste,Bruno Lima,88,86,4.7
V000121,2024-07-19,1122.76,1271.96,149.2,Placa Mãe,Componentes,NVIDIA,Loja Física,Norte,Eduardo Rocha,8,179,4.4
V000122,2023-08-05,319.58,430.02,110.44,Ring Light,Acessórios,Baseus,Marketplace,Centro-Oeste,Carlos Silva,60,141,4.7
V000123,2023-10-18,946.51,1232.22,285.71,Placa Mãe,Componentes,AMD,Marketplace,Norte,Daniela Souza,48,46,3.5
V000124,2023-02-08,364.94,483.14,118.2,Caixa de Som,Áudio e Vídeo,Bose,Loja Física,Norte,Ana Costa,79,32,4.8
V000125,2024-04-21,856.97,1140.85,283.88,Roteador,Rede,Cisco,Loja Física,Sudeste,Ana Costa,72,69,3.1
V000126,2025-01-05,965.52,1174.29,208.77,Roteador,Rede,TP-Link,Venda Direta,Norte,Eduardo Rocha,65,17,2.1
V000127,2024-07-01,680.14,961.24,281.1,Gabinete,Componentes,AMD,E-commerce,Sudeste,Ana Costa,76,108,2.1
V000128,2025-04-23,797.65,884.31,86.66,Switch de Rede,Rede,D-Link,Marketplace,Norte,Carlos Silva,98,17,2.2
V000129,2024-04-22,2633.78,2719.09,85.31,Placa de Vídeo,Componentes,NVIDIA,Loja Física,Nordeste,Bruno Lima,8,169,1.9
V000130,2023-01-01,6092.84,7421.5,1328.66,Placa de Vídeo,Componentes,Corsair,Loja Física,Nordeste,Carlos Silva,47,147,4.1
V000131,2024-07-21,1182.67,1194.21,11.54,Câmera,Áudio e Vídeo,Philips,Marketplace,Norte,Carlos Silva,98,120,3.8
V000132,2025-01-19,119.2,134.13,14.93,Lâmpada Inteligente,Eletrônicos,Apple,Venda Direta,Norte,Eduardo Rocha,23,85,3.1
V000133,2023-01-25,433.6,605.97,172.37,Carregador Portátil,Acessórios,Genérico,Loja Física,Norte,Bruno Lima,34,196,1.2
V000134,2023-04-23,596.2,602.65,6.45,SSD,Armazenamento,Kingston,Marketplace,Centro-Oeste,Eduardo Rocha,75,3,1.6
V000135,2024-10-07,875.69,980.28,104.59,Caixa de Som,Áudio e Vídeo,Bose,Venda Direta,Centro-Oeste,Carlos Silva,59,171,3.6
V000136,2023-03-03,498.15,593.04,94.89,Carregador Portátil,Acessórios,Belkin,Venda Direta,Centro-Oeste,Eduardo Rocha,91,41,4.3
V000137,2023-11-07,3130.16,3203.0,72.84,Processador,Componentes,AMD,Venda Direta,Sudeste,Ana Costa,90,39,1.2
V000138,2024-04-25,637.75,869.14,231.39,SSD,Armazenamento,Seagate,Venda Direta,Nordeste,Bruno Lima,29,155,1.3
V000139,2025-02-26,986.52,1126.81,140.29,Memória RAM,Componentes,Intel,Loja Física,Nordeste,Daniela Souza,76,11,4.0
V000140,2023-05-10,75.2,75.57,0.37,Teclado,Periféricos,HP,Loja Física,Nordeste,Bruno Lima,70,130,1.7
V000141,2024-03-28,759.73,982.1,222.37,Caixa de Som,Áudio e Vídeo,Sony,Loja Física,Centro-Oeste,Eduardo Rocha,52,168,2.9
V000142,2023-02-03,495.6,686.54,190.94,Microfone,Áudio e Vídeo,Philips,E-commerce,Nordeste,Ana Costa,24,21,3.6
V000143,2023-01-03,1008.53,1271.9,263.37,Impressora,Periféricos,Dell,Loja Física,Norte,Daniela Souza,90,17,5.0
V000144,2023-08-02,1794.25,2351.09,556.84,Smartphone,Eletrônicos,Samsung,Loja Física,Sudeste,Daniela Souza,51,108,4.0
V000145,2023-04-19,421.96,422.11,0.15,Caixa de Som,Áudio e Vídeo,Sony,E-commerce,Sudeste,Fernanda Alves,99,131,4.0
V000146,2024-03-17,859.95,1222.24,362.29,Smartwatch,Eletrônicos,LG,Loja Física,Sul,Bruno Lima,32,158,4.9
V000147,2023-06-21,102.88,105.59,2.71,Fone de Ouvido,Áudio e Vídeo,Sony,Loja Física,Sul,Ana Costa,73,197,4.0
V000148,2023-07-30,166.75,179.85,13.1,TV Box,Áudio e Vídeo,Bose,E-commerce,Centro-Oeste,Ana Costa,92,26,4.1
V000149,2023-04-15,710.41,714.28,3.87,Roteador,Rede,D-Link,Marketplace,Sul,Eduardo Rocha,17,127,1.8
V000150,2023-06-06,1263.23,1671.25,408.02,No-Break,Componentes,NVIDIA,Marketplace,Nordeste,Bruno Lima,13,66,4.0
V000151,2023-02-08,5760.7,8010.55,2249.85,Placa de Vídeo,Componentes,NVIDIA,Marketplace,Nordeste,Fernanda Alves,66,75,4.1
V000152,2023-01-31,1918.07,2125.03,206.96,Processador,Componentes,AMD,Loja Física,Sul,Fernanda Alves,69,66,4.9
V000153,2023-08-31,378.27,405.28,27.01,Microfone,Áudio e Vídeo,JBL,E-commerce,Sul,Eduardo Rocha,70,140,2.6
V000154,2023-04-06,195.06,255.65,60.59,Tripé,Acessórios,Belkin,Marketplace,Nordeste,Ana Costa,10,180,1.9
V000155,2024-06-28,935.68,1090.21,154.53,Switch de Rede,Rede,Ubiquiti,Marketplace,Nordeste,Bruno Lima,13,22,2.4
V000156,2023-10-01,971.66,1265.09,293.43,Dock Station,Periféricos,HP,E-commerce,Norte,Fernanda Alves,8,18,1.7
V000157,2023-06-02,306.72,312.56,5.84,Scanner,Periféricos,Multilaser,E-commerce,Centro-Oeste,Daniela Souza,50,48,3.6
V000158,2023-04-22,912.56,1257.87,345.31,Scanner,Periféricos,Dell,Marketplace,Sul,Carlos Silva,26,184,3.8
V000159,2023-08-03,910.47,938.43,27.96,TV Box,Áudio e Vídeo,JBL,Marketplace,Norte,Daniela Souza,34,56,1.2
V000160,2023-02-07,1178.19,1495.79,317.6,Smartwatch,Eletrônicos,Apple,Venda Direta,Nordeste,Fernanda Alves,51,159,4.3
V000161,2024-10-13,771.13,776.13,5.0,Gabinete,Componentes,AMD,Loja Física,Centro-Oeste,Ana Costa,65,124,1.7
V000162,2023-02-13,110.69,132.62,21.93,Lâmpada Inteligente,Eletrônicos,Xiaomi,Marketplace,Sul,Fernanda Alves,12,134,2.4
V000163,2024-08-11,1076.93,1091.47,14.54,Impressora,Periféricos,HP,Venda Direta,Norte,Eduardo Rocha,32,82,1.6
V000164,2025-01-21,446.61,482.36,35.75,Scanner,Periféricos,Dell,Venda Direta,Sudeste,Ana Costa,40,145,3.0
V000165,2023-12-31,488.35,517.34,28.99,Fone de Ouvido,Áudio e Vídeo,Sony,E-commerce,Centro-Oeste,Daniela Souza,27,51,1.8
V000166,2025-03-05,4589.96,4962.26,372.3,Notebook,Informática,Lenovo,Loja Física,Norte,Eduardo Rocha,66,140,3.1
V000167,2023-11-10,268.35,268.7,0.35,Microfone,Áudio e Vídeo,Sony,Loja Física,Norte,Bruno Lima,47,170,1.3
V000168,2024-07-13,1459.47,1565.14,105.67,No-Break,Componentes,Intel,Loja Física,Centro-Oeste,Carlos Silva,83,147,1.3
V000169,2024-12-17,873.41,1216.22,342.81,No-Break,Componentes,AMD,E-commerce,Centro-Oeste,Ana Costa,66,45,3.3
V000170,2024-01-17,6990.96,7032.49,41.53,Smartphone,Eletrônicos,Xiaomi,Venda Direta,Sudeste,Bruno Lima,86,85,4.3
V000171,2024-06-30,135.07,186.02,50.95,Microfone,Áudio e Vídeo,Sony,E-commerce,Sul,Fernanda Alves,21,122,1.1
V000172,2023-01-26,381.31,394.0,12.69,Fone de Ouvido,Áudio e Vídeo,JBL,Venda Direta,Norte,Ana Costa,63,165,1.6
V000173,2025-01-03,1729.71,2124.31,394.6,Placa de Vídeo,Componentes,AMD,E-commerce,Norte,Daniela Souza,97,132,1.3
V000174,2024-05-15,3299.29,3714.11,414.82,Placa de Vídeo,Componentes,Corsair,E-commerce,Centro-Oeste,Fernanda Alves,57,144,1.3
V000175,2023-05-04,1246.48,1685.83,439.35,No-Break,Componentes,Corsair,Venda Direta,Centro-Oeste,Daniela Souza,45,8,3.3
V000176,2024-08-31,888.14,1188.56,300.42,Fonte de Alimentação,Componentes,Corsair,Marketplace,Sul,Ana Costa,87,15,2.8
V000177,2024-04-18,931.39,971.65,40.26,Gabinete,Componentes,NVIDIA,Venda Direta,Norte,Fernanda Alves,61,84,5.0
V000178,2025-03-19,374.04,402.26,28.22,Dock Station,Periféricos,Multilaser,Loja Física,Centro-Oeste,Ana Costa,22,158,5.0
V000179,2025-04-11,2489.74,2733.66,243.92,Smartphone,Eletrônicos,Apple,E-commerce,Centro-Oeste,Fernanda Alves,41,37,1.4
V000180,2023-02-18,324.34,339.61,15.27,Controle de Videogame,Acessórios,Belkin,Venda Direta,Norte,Fernanda Alves,76,69,1.9
V000181,2024-04-07,144.75,197.47,52.72,Carregador Portátil,Acessórios,Anker,Venda Direta,Sudeste,Bruno Lima,25,65,4.7
V000182,2023-06-01,1427.48,1467.05,39.57,Notebook,Informática,Dell,Marketplace,Sul,Carlos Silva,13,134,2.5
V000183,2025-01-30,128.6,160.57,31.97,Tripé,Acessórios,Baseus,Marketplace,Sul,Fernanda Alves,22,145,2.4
V000184,2023-01-05,109.32,155.46,46.14,Carregador Portátil,Acessórios,Anker,Venda Direta,Centro-Oeste,Daniela Souza,78,34,3.6
V000185,2024-06-11,296.2,298.66,2.46,Memória RAM,Componentes,NVIDIA,Loja Física,Sul,Ana Costa,8,44,2.0
V000186,2023-06-13,57.98,59.63,1.65,Scanner,Periféricos,Logitech,Venda Direta,Sul,Daniela Souza,79,2,3.3
V000187,2023-08-29,2699.91,3038.33,338.42,Processador,Componentes,NVIDIA,Venda Direta,Norte,Fernanda Alves,10,175,3.1
V000188,2024-02-12,1011.27,1086.6,75.33,Projetor,Áudio e Vídeo,Sony,Loja Física,Centro-Oeste,Ana Costa,31,115,4.8
V000189,2024-03-25,712.93,957.68,244.75,Câmera,Áudio e Vídeo,JBL,Loja Física,Norte,Bruno Lima,76,60,3.8
V000190,2024-11-12,4683.32,4833.9,150.58,Smartphone,Eletrônicos,Xiaomi,E-commerce,Nordeste,Eduardo Rocha,11,129,3.0
V000191,2025-03-24,128.79,179.06,50.27,Controle de Videogame,Acessórios,Baseus,Loja Física,Norte,Bruno Lima,88,105,3.6
V000192,2023-02-01,967.55,1061.16,93.61,Gabinete,Componentes,AMD,Venda Direta,Centro-Oeste,Daniela Souza,65,124,4.4
V000193,2024-12-27,65.86,71.68,5.82,Hub USB,Acessórios,Anker,Marketplace,Sul,Daniela Souza,100,57,1.6
V000194,2023-02-13,498.54,505.01,6.47,Estabilizador,Componentes,AMD,E-commerce,Norte,Carlos Silva,3,98,1.3
V000195,2024-12-23,273.77,320.78,47.01,Webcam,Periféricos,Logitech,E-commerce,Norte,Carlos Silva,58,192,2.5
V000196,2023-04-09,163.73,197.76,34.03,Tripé,Acessórios,Baseus,Loja Física,Nordeste,Carlos Silva,38,12,3.3
V000197,2023-03-22,58.83,60.14,1.31,TV Box,Áudio e Vídeo,JBL,Marketplace,Norte,Ana Costa,29,77,1.7
